Area,Age,Ethnic group,Sex,Year at 30 June,Value,Flags
"Southland district","5-9 years","Total people, ethnic group","Female","1996",1240,
"Gore district","5-9 years","Total people, ethnic group","Male","1996",580,
"Gore district","5-9 years","Total people, ethnic group","Female","1996",570,
"Invercargill city","5-9 years","Total people, ethnic group","Male","1996",2160,
"Invercargill city","5-9 years","Total people, ethnic group","Female","1996",2050,
"Area outside territorial authority","5-9 years","Total people, ethnic group","Male","1996",0,
"Area outside territorial authority","5-9 years","Total people, ethnic group","Female","1996",5,
"Far North district","10-14 years","Total people, ethnic group","Male","1996",2530,
"Far North district","10-14 years","Total people, ethnic group","Female","1996",2380,
"Whangarei district","10-14 years","Total people, ethnic group","Male","1996",2850,
"Whangarei district","10-14 years","Total people, ethnic group","Female","1996",2630,
"Kaipara district","10-14 years","Total people, ethnic group","Male","1996",810,
"Kaipara district","10-14 years","Total people, ethnic group","Female","1996",730,
"Auckland","10-14 years","Total people, ethnic group","Male","1996",39560,
"Auckland","10-14 years","Total people, ethnic group","Female","1996",37420,
"Thames-Coromandel district","10-14 years","Total people, ethnic group","Male","1996",830,
"Thames-Coromandel district","10-14 years","Total people, ethnic group","Female","1996",800,
"Hauraki district","10-14 years","Total people, ethnic group","Male","1996",850,
"Hauraki district","10-14 years","Total people, ethnic group","Female","1996",760,
"Waikato district","10-14 years","Total people, ethnic group","Male","1996",2390,
"Waikato district","10-14 years","Total people, ethnic group","Female","1996",2230,
"Matamata-Piako district","10-14 years","Total people, ethnic group","Male","1996",1280,
"Matamata-Piako district","10-14 years","Total people, ethnic group","Female","1996",1230,
"Hamilton city","10-14 years","Total people, ethnic group","Male","1996",4100,
"Hamilton city","10-14 years","Total people, ethnic group","Female","1996",3820,
"Waipa district","10-14 years","Total people, ethnic group","Male","1996",1660,
"Waipa district","10-14 years","Total people, ethnic group","Female","1996",1500,
"Otorohanga district","10-14 years","Total people, ethnic group","Male","1996",440,
"Otorohanga district","10-14 years","Total people, ethnic group","Female","1996",420,
"South Waikato district","10-14 years","Total people, ethnic group","Male","1996",1200,
"South Waikato district","10-14 years","Total people, ethnic group","Female","1996",1120,
