contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2 Deaths (numbers): area of usual residence, by age and sex, 2014 registrations,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England and Wales
"England and Wales, England, regions, unitary authorities/counties/districts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area of usual residence,All Ages,,Under 1,, 1 ­ 4,,5­9,, 10-14,,15-19,,20-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70-74,,75-79,,80-84,,85-89,,90 and over,
,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND AND WALES1       ,"245,142","256,282","1,460","1,229",271,198,162,130,173,119,536,293,959,413,"1,196",558,"1,523",861,"2,017","1,198","3,282","2,125","5,108","3,286","7,076","4,856","9,689","6,501","14,289","9,677","21,901","14,938","26,311","19,268","34,589","27,917","41,831","41,029","40,126","50,909","32,643","70,777"
Sefton                            ,"1,499","1,693",5,5,0,0,0,0,2,0,6,1,6,0,9,0,8,4,16,4,18,11,38,22,46,28,66,44,88,58,138,106,160,135,231,197,252,307,228,341,182,430
St Helens                         ,910,927,3,3,0,0,0,1,0,1,2,0,1,1,4,3,4,2,10,2,18,15,20,13,37,27,49,30,61,49,95,56,112,83,138,117,157,163,112,176,87,185
Wirral                            ,"1,693","1,855",5,3,0,0,0,0,1,1,2,1,4,1,9,4,7,12,20,7,25,20,39,25,55,29,73,53,104,76,152,117,174,133,245,191,286,305,269,395,223,482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORKSHIRE AND THE HUMBER          ,"23,960","25,308",144,114,27,21,18,14,17,7,45,25,85,42,112,61,155,80,229,117,317,212,510,318,674,459,990,651,"1,484",972,"2,271","1,550","2,701","1,962","3,514","2,993","3,956","4,145","3,804","5,044","2,907","6,521"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire        ,"1,749","1,842",2,3,0,0,0,0,1,0,2,1,6,1,9,2,5,7,13,3,16,6,30,21,31,23,53,41,80,67,175,124,209,148,251,219,311,309,296,358,259,509
Kingston upon Hull‚ City of     ,"1,229","1,247",7,7,2,1,2,1,2,0,3,1,4,2,5,1,10,4,17,6,18,17,30,16,42,27,53,41,100,60,140,92,138,98,188,161,184,218,155,228,129,266
North East Lincolnshire         ,784,786,4,1,0,1,0,1,0,0,1,0,0,2,2,2,4,5,7,2,13,4,21,7,20,14,34,14,57,41,79,50,89,83,115,85,128,123,120,150,90,201
North Lincolnshire              ,801,853,2,3,0,1,0,0,1,0,1,3,5,0,5,1,2,1,8,2,9,7,19,9,23,23,30,23,51,34,80,63,106,77,103,97,129,135,131,164,96,210
