"Country or Area","Year","Area","Sex","Age of mother","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Russian Federation","2011","Total","Female","47","Data tabulated by year of occurrence","Final figure, complete","2012","102","1"
"Russian Federation","2011","Total","Female","48","Data tabulated by year of occurrence","Final figure, complete","2012","75","1"
"Russian Federation","2011","Total","Female","49","Data tabulated by year of occurrence","Final figure, complete","2012","46","1"
"Russian Federation","2011","Total","Female","50 +","Data tabulated by year of occurrence","Final figure, complete","2012","73","1"
"Russian Federation","2011","Total","Female","Unknown","Data tabulated by year of occurrence","Final figure, complete","2012","812","1"
"Russian Federation","2010","Total","Male","Total","Data tabulated by year of occurrence","Final figure, complete","2010","919639","1"
"Russian Federation","2010","Total","Male","12","Data tabulated by year of occurrence","Final figure, complete","2010","5","1"
"Russian Federation","2010","Total","Male","13","Data tabulated by year of occurrence","Final figure, complete","2010","13","1"
"Russian Federation","2010","Total","Male","14","Data tabulated by year of occurrence","Final figure, complete","2010","131","1"
"Russian Federation","2010","Total","Male","15","Data tabulated by year of occurrence","Final figure, complete","2010","891","1"
"Russian Federation","2010","Total","Male","16","Data tabulated by year of occurrence","Final figure, complete","2010","2955","1"
"Russian Federation","2010","Total","Male","17","Data tabulated by year of occurrence","Final figure, complete","2010","8112","1"
"Russian Federation","2010","Total","Male","18","Data tabulated by year of occurrence","Final figure, complete","2010","17349","1"
"Russian Federation","2010","Total","Male","19","Data tabulated by year of occurrence","Final figure, complete","2010","29372","1"
"Russian Federation","2010","Total","Male","20","Data tabulated by year of occurrence","Final figure, complete","2010","39642","1"
"Russian Federation","2010","Total","Male","21","Data tabulated by year of occurrence","Final figure, complete","2010","48028","1"
"Russian Federation","2010","Total","Male","22","Data tabulated by year of occurrence","Final figure, complete","2010","55972","1"
"Russian Federation","2010","Total","Male","23","Data tabulated by year of occurrence","Final figure, complete","2010","62893","1"
"Russian Federation","2010","Total","Male","24","Data tabulated by year of occurrence","Final figure, complete","2010","64750","1"
"Russian Federation","2010","Total","Male","25","Data tabulated by year of occurrence","Final figure, complete","2010","65820","1"
"Russian Federation","2010","Total","Male","26","Data tabulated by year of occurrence","Final figure, complete","2010","66229","1"
"Russian Federation","2010","Total","Male","27","Data tabulated by year of occurrence","Final figure, complete","2010","63308","1"
"Russian Federation","2010","Total","Male","28","Data tabulated by year of occurrence","Final figure, complete","2010","56433","1"
"Russian Federation","2010","Total","Male","29","Data tabulated by year of occurrence","Final figure, complete","2010","51459","1"
"Russian Federation","2010","Total","Male","30","Data tabulated by year of occurrence","Final figure, complete","2010","47820","1"
"Russian Federation","2010","Total","Male","31","Data tabulated by year of occurrence","Final figure, complete","2010","42841","1"
"Russian Federation","2010","Total","Male","32","Data tabulated by year of occurrence","Final figure, complete","2010","38068","1"
