Area,Age,Ethnic group,Sex,Year at 30 June,Value,Flags
"Hawke's Bay region","85 years and over","Total people, ethnic group","Male","1996",530,
"Hawke's Bay region","85 years and over","Total people, ethnic group","Female","1996",1240,
"Taranaki region","85 years and over","Total people, ethnic group","Male","1996",400,
"Taranaki region","85 years and over","Total people, ethnic group","Female","1996",940,
"Manawatu-Wanganui region","85 years and over","Total people, ethnic group","Male","1996",770,
"Manawatu-Wanganui region","85 years and over","Total people, ethnic group","Female","1996",1970,
"Wellington region","85 years and over","Total people, ethnic group","Male","1996",1200,
"Wellington region","85 years and over","Total people, ethnic group","Female","1996",2910,
"Tasman region","85 years and over","Total people, ethnic group","Male","1996",120,
"Tasman region","85 years and over","Total people, ethnic group","Female","1996",230,
"Nelson region","85 years and over","Total people, ethnic group","Male","1996",170,
"Nelson region","85 years and over","Total people, ethnic group","Female","1996",410,
"Marlborough region","85 years and over","Total people, ethnic group","Male","1996",130,
"Marlborough region","85 years and over","Total people, ethnic group","Female","1996",310,
"West Coast region","85 years and over","Total people, ethnic group","Male","1996",110,
"West Coast region","85 years and over","Total people, ethnic group","Female","1996",230,
"Canterbury region","85 years and over","Total people, ethnic group","Male","1996",1640,
"Canterbury region","85 years and over","Total people, ethnic group","Female","1996",4200,
"Otago region","85 years and over","Total people, ethnic group","Male","1996",690,
"Otago region","85 years and over","Total people, ethnic group","Female","1996",1820,
"Southland region","85 years and over","Total people, ethnic group","Male","1996",280,
"Southland region","85 years and over","Total people, ethnic group","Female","1996",720,
"Northland region","0-4 years","Total people, ethnic group","Male","2001",5500,
"Northland region","0-4 years","Total people, ethnic group","Female","2001",5240,
"Auckland region","0-4 years","Total people, ethnic group","Male","2001",47370,
"Auckland region","0-4 years","Total people, ethnic group","Female","2001",45460,
"Waikato region","0-4 years","Total people, ethnic group","Male","2001",14500,
"Waikato region","0-4 years","Total people, ethnic group","Female","2001",13910,
"Bay of Plenty region","0-4 years","Total people, ethnic group","Male","2001",9730,
"Bay of Plenty region","0-4 years","Total people, ethnic group","Female","2001",9210,
"Gisborne region","0-4 years","Total people, ethnic group","Male","2001",2110,
"Gisborne region","0-4 years","Total people, ethnic group","Female","2001",1920,
"Hawke's Bay region","0-4 years","Total people, ethnic group","Male","2001",5720,
"Hawke's Bay region","0-4 years","Total people, ethnic group","Female","2001",5360,
"Taranaki region","0-4 years","Total people, ethnic group","Male","2001",3830,
"Taranaki region","0-4 years","Total people, ethnic group","Female","2001",3580,
"Manawatu-Wanganui region","0-4 years","Total people, ethnic group","Male","2001",8380,
"Manawatu-Wanganui region","0-4 years","Total people, ethnic group","Female","2001",7950,
"Wellington region","0-4 years","Total people, ethnic group","Male","2001",16370,
"Wellington region","0-4 years","Total people, ethnic group","Female","2001",15650,
"Tasman region","0-4 years","Total people, ethnic group","Male","2001",1510,
"Tasman region","0-4 years","Total people, ethnic group","Female","2001",1320,
"Nelson region","0-4 years","Total people, ethnic group","Male","2001",1360,
"Nelson region","0-4 years","Total people, ethnic group","Female","2001",1300,
"Marlborough region","0-4 years","Total people, ethnic group","Male","2001",1330,
"Marlborough region","0-4 years","Total people, ethnic group","Female","2001",1210,
"West Coast region","0-4 years","Total people, ethnic group","Male","2001",1000,
"West Coast region","0-4 years","Total people, ethnic group","Female","2001",990,
"Canterbury region","0-4 years","Total people, ethnic group","Male","2001",16240,
"Canterbury region","0-4 years","Total people, ethnic group","Female","2001",15470,
"Otago region","0-4 years","Total people, ethnic group","Male","2001",5650,
"Otago region","0-4 years","Total people, ethnic group","Female","2001",5310,
"Southland region","0-4 years","Total people, ethnic group","Male","2001",3300,
"Southland region","0-4 years","Total people, ethnic group","Female","2001",3140,
"Northland region","5-9 years","Total people, ethnic group","Male","2001",6480,
"Northland region","5-9 years","Total people, ethnic group","Female","2001",6080,
"Auckland region","5-9 years","Total people, ethnic group","Male","2001",48040,
"Auckland region","5-9 years","Total people, ethnic group","Female","2001",44950,
"Waikato region","5-9 years","Total people, ethnic group","Male","2001",15750,
"Waikato region","5-9 years","Total people, ethnic group","Female","2001",14610,
"Bay of Plenty region","5-9 years","Total people, ethnic group","Male","2001",10710,
"Bay of Plenty region","5-9 years","Total people, ethnic group","Female","2001",9800,
"Gisborne region","5-9 years","Total people, ethnic group","Male","2001",2200,
"Gisborne region","5-9 years","Total people, ethnic group","Female","2001",2060,
"Hawke's Bay region","5-9 years","Total people, ethnic group","Male","2001",6340,
"Hawke's Bay region","5-9 years","Total people, ethnic group","Female","2001",5810,
"Taranaki region","5-9 years","Total people, ethnic group","Male","2001",4330,
"Taranaki region","5-9 years","Total people, ethnic group","Female","2001",4120,
"Manawatu-Wanganui region","5-9 years","Total people, ethnic group","Male","2001",9120,
"Manawatu-Wanganui region","5-9 years","Total people, ethnic group","Female","2001",8580,
"Wellington region","5-9 years","Total people, ethnic group","Male","2001",16380,
"Wellington region","5-9 years","Total people, ethnic group","Female","2001",15630,
"Tasman region","5-9 years","Total people, ethnic group","Male","2001",1800,
"Tasman region","5-9 years","Total people, ethnic group","Female","2001",1560,
"Nelson region","5-9 years","Total people, ethnic group","Male","2001",1530,
"Nelson region","5-9 years","Total people, ethnic group","Female","2001",1410,
"Marlborough region","5-9 years","Total people, ethnic group","Male","2001",1470,
"Marlborough region","5-9 years","Total people, ethnic group","Female","2001",1430,
"West Coast region","5-9 years","Total people, ethnic group","Male","2001",1280,
"West Coast region","5-9 years","Total people, ethnic group","Female","2001",1230,
"Canterbury region","5-9 years","Total people, ethnic group","Male","2001",17230,
"Canterbury region","5-9 years","Total people, ethnic group","Female","2001",16440,
"Otago region","5-9 years","Total people, ethnic group","Male","2001",6210,
"Otago region","5-9 years","Total people, ethnic group","Female","2001",5750,
"Southland region","5-9 years","Total people, ethnic group","Male","2001",3750,
"Southland region","5-9 years","Total people, ethnic group","Female","2001",3330,
"Northland region","10-14 years","Total people, ethnic group","Male","2001",6720,
"Northland region","10-14 years","Total people, ethnic group","Female","2001",6300,
"Auckland region","10-14 years","Total people, ethnic group","Male","2001",47060,
"Auckland region","10-14 years","Total people, ethnic group","Female","2001",44960,
"Waikato region","10-14 years","Total people, ethnic group","Male","2001",15520,
"Waikato region","10-14 years","Total people, ethnic group","Female","2001",15220,
"Bay of Plenty region","10-14 years","Total people, ethnic group","Male","2001",10610,
"Bay of Plenty region","10-14 years","Total people, ethnic group","Female","2001",10340,
"Gisborne region","10-14 years","Total people, ethnic group","Male","2001",2210,
"Gisborne region","10-14 years","Total people, ethnic group","Female","2001",2100,
"Hawke's Bay region","10-14 years","Total people, ethnic group","Male","2001",6410,
"Hawke's Bay region","10-14 years","Total people, ethnic group","Female","2001",6240,
"Taranaki region","10-14 years","Total people, ethnic group","Male","2001",4710,
"Taranaki region","10-14 years","Total people, ethnic group","Female","2001",4420,
"Manawatu-Wanganui region","10-14 years","Total people, ethnic group","Male","2001",9480,
"Manawatu-Wanganui region","10-14 years","Total people, ethnic group","Female","2001",9100,
"Wellington region","10-14 years","Total people, ethnic group","Male","2001",16480,
"Wellington region","10-14 years","Total people, ethnic group","Female","2001",15670,
"Tasman region","10-14 years","Total people, ethnic group","Male","2001",1760,
"Tasman region","10-14 years","Total people, ethnic group","Female","2001",1740,
"Nelson region","10-14 years","Total people, ethnic group","Male","2001",1690,
"Nelson region","10-14 years","Total people, ethnic group","Female","2001",1610,
"Marlborough region","10-14 years","Total people, ethnic group","Male","2001",1600,
"Marlborough region","10-14 years","Total people, ethnic group","Female","2001",1460,
"West Coast region","10-14 years","Total people, ethnic group","Male","2001",1240,
"West Coast region","10-14 years","Total people, ethnic group","Female","2001",1240,
"Canterbury region","10-14 years","Total people, ethnic group","Male","2001",17850,
"Canterbury region","10-14 years","Total people, ethnic group","Female","2001",16880,
"Otago region","10-14 years","Total people, ethnic group","Male","2001",6520,
"Otago region","10-14 years","Total people, ethnic group","Female","2001",6030,
"Southland region","10-14 years","Total people, ethnic group","Male","2001",3890,
"Southland region","10-14 years","Total people, ethnic group","Female","2001",3640,
"Northland region","15-19 years","Total people, ethnic group","Male","2001",5140,
"Northland region","15-19 years","Total people, ethnic group","Female","2001",4640,
"Auckland region","15-19 years","Total people, ethnic group","Male","2001",44320,
"Auckland region","15-19 years","Total people, ethnic group","Female","2001",43170,
"Waikato region","15-19 years","Total people, ethnic group","Male","2001",14240,
"Waikato region","15-19 years","Total people, ethnic group","Female","2001",13430,
"Bay of Plenty region","15-19 years","Total people, ethnic group","Male","2001",8680,
"Bay of Plenty region","15-19 years","Total people, ethnic group","Female","2001",8220,
"Gisborne region","15-19 years","Total people, ethnic group","Male","2001",1690,
"Gisborne region","15-19 years","Total people, ethnic group","Female","2001",1670,
"Hawke's Bay region","15-19 years","Total people, ethnic group","Male","2001",5360,
"Hawke's Bay region","15-19 years","Total people, ethnic group","Female","2001",4950,
"Taranaki region","15-19 years","Total people, ethnic group","Male","2001",3900,
"Taranaki region","15-19 years","Total people, ethnic group","Female","2001",3590,
"Manawatu-Wanganui region","15-19 years","Total people, ethnic group","Male","2001",8820,
"Manawatu-Wanganui region","15-19 years","Total people, ethnic group","Female","2001",8430,
"Wellington region","15-19 years","Total people, ethnic group","Male","2001",15070,
"Wellington region","15-19 years","Total people, ethnic group","Female","2001",14690,
"Tasman region","15-19 years","Total people, ethnic group","Male","2001",1410,
"Tasman region","15-19 years","Total people, ethnic group","Female","2001",1260,
"Nelson region","15-19 years","Total people, ethnic group","Male","2001",1490,
"Nelson region","15-19 years","Total people, ethnic group","Female","2001",1470,
"Marlborough region","15-19 years","Total people, ethnic group","Male","2001",1350,
"Marlborough region","15-19 years","Total people, ethnic group","Female","2001",1240,
"West Coast region","15-19 years","Total people, ethnic group","Male","2001",1010,
"West Coast region","15-19 years","Total people, ethnic group","Female","2001",830,
"Canterbury region","15-19 years","Total people, ethnic group","Male","2001",17720,
"Canterbury region","15-19 years","Total people, ethnic group","Female","2001",17060,
"Otago region","15-19 years","Total people, ethnic group","Male","2001",7840,
"Otago region","15-19 years","Total people, ethnic group","Female","2001",8200,
"Southland region","15-19 years","Total people, ethnic group","Male","2001",3410,
"Southland region","15-19 years","Total people, ethnic group","Female","2001",3280,
"Northland region","20-24 years","Total people, ethnic group","Male","2001",3240,
"Northland region","20-24 years","Total people, ethnic group","Female","2001",3240,
"Auckland region","20-24 years","Total people, ethnic group","Male","2001",43910,
"Auckland region","20-24 years","Total people, ethnic group","Female","2001",44550,
"Waikato region","20-24 years","Total people, ethnic group","Male","2001",12120,
"Waikato region","20-24 years","Total people, ethnic group","Female","2001",11720,
"Bay of Plenty region","20-24 years","Total people, ethnic group","Male","2001",6270,
"Bay of Plenty region","20-24 years","Total people, ethnic group","Female","2001",6290,
"Gisborne region","20-24 years","Total people, ethnic group","Male","2001",1160,
"Gisborne region","20-24 years","Total people, ethnic group","Female","2001",1230,
"Hawke's Bay region","20-24 years","Total people, ethnic group","Male","2001",3950,
"Hawke's Bay region","20-24 years","Total people, ethnic group","Female","2001",3740,
"Taranaki region","20-24 years","Total people, ethnic group","Male","2001",2840,
"Taranaki region","20-24 years","Total people, ethnic group","Female","2001",2630,
"Manawatu-Wanganui region","20-24 years","Total people, ethnic group","Male","2001",7980,
"Manawatu-Wanganui region","20-24 years","Total people, ethnic group","Female","2001",7600,
"Wellington region","20-24 years","Total people, ethnic group","Male","2001",15230,
"Wellington region","20-24 years","Total people, ethnic group","Female","2001",16020,
"Tasman region","20-24 years","Total people, ethnic group","Male","2001",940,
"Tasman region","20-24 years","Total people, ethnic group","Female","2001",880,
"Nelson region","20-24 years","Total people, ethnic group","Male","2001",1170,
"Nelson region","20-24 years","Total people, ethnic group","Female","2001",1140,
"Marlborough region","20-24 years","Total people, ethnic group","Male","2001",1030,
"Marlborough region","20-24 years","Total people, ethnic group","Female","2001",870,
"West Coast region","20-24 years","Total people, ethnic group","Male","2001",710,
"West Coast region","20-24 years","Total people, ethnic group","Female","2001",690,
"Canterbury region","20-24 years","Total people, ethnic group","Male","2001",16890,
"Canterbury region","20-24 years","Total people, ethnic group","Female","2001",16330,
"Otago region","20-24 years","Total people, ethnic group","Male","2001",7950,
"Otago region","20-24 years","Total people, ethnic group","Female","2001",8300,
"Southland region","20-24 years","Total people, ethnic group","Male","2001",2600,
"Southland region","20-24 years","Total people, ethnic group","Female","2001",2350,
"Northland region","25-29 years","Total people, ethnic group","Male","2001",3520,
"Northland region","25-29 years","Total people, ethnic group","Female","2001",3820,
"Auckland region","25-29 years","Total people, ethnic group","Male","2001",43140,
"Auckland region","25-29 years","Total people, ethnic group","Female","2001",46810,
"Waikato region","25-29 years","Total people, ethnic group","Male","2001",11460,
"Waikato region","25-29 years","Total people, ethnic group","Female","2001",11710,
"Bay of Plenty region","25-29 years","Total people, ethnic group","Male","2001",6710,
"Bay of Plenty region","25-29 years","Total people, ethnic group","Female","2001",7440,
"Gisborne region","25-29 years","Total people, ethnic group","Male","2001",1350,
"Gisborne region","25-29 years","Total people, ethnic group","Female","2001",1400,
"Hawke's Bay region","25-29 years","Total people, ethnic group","Male","2001",4130,
"Hawke's Bay region","25-29 years","Total people, ethnic group","Female","2001",4490,
"Taranaki region","25-29 years","Total people, ethnic group","Male","2001",2880,
"Taranaki region","25-29 years","Total people, ethnic group","Female","2001",3120,
"Manawatu-Wanganui region","25-29 years","Total people, ethnic group","Male","2001",6920,
"Manawatu-Wanganui region","25-29 years","Total people, ethnic group","Female","2001",7090,
"Wellington region","25-29 years","Total people, ethnic group","Male","2001",15760,
"Wellington region","25-29 years","Total people, ethnic group","Female","2001",16920,
"Tasman region","25-29 years","Total people, ethnic group","Male","2001",1170,
"Tasman region","25-29 years","Total people, ethnic group","Female","2001",1200,
"Nelson region","25-29 years","Total people, ethnic group","Male","2001",1370,
"Nelson region","25-29 years","Total people, ethnic group","Female","2001",1400,
"Marlborough region","25-29 years","Total people, ethnic group","Male","2001",1110,
"Marlborough region","25-29 years","Total people, ethnic group","Female","2001",1060,
"West Coast region","25-29 years","Total people, ethnic group","Male","2001",800,
"West Coast region","25-29 years","Total people, ethnic group","Female","2001",870,
"Canterbury region","25-29 years","Total people, ethnic group","Male","2001",15900,
"Canterbury region","25-29 years","Total people, ethnic group","Female","2001",16570,
"Otago region","25-29 years","Total people, ethnic group","Male","2001",5640,
"Otago region","25-29 years","Total people, ethnic group","Female","2001",5930,
"Southland region","25-29 years","Total people, ethnic group","Male","2001",2720,
"Southland region","25-29 years","Total people, ethnic group","Female","2001",2780,
"Northland region","30-34 years","Total people, ethnic group","Male","2001",4230,
"Northland region","30-34 years","Total people, ethnic group","Female","2001",4860,
"Auckland region","30-34 years","Total people, ethnic group","Male","2001",48440,
"Auckland region","30-34 years","Total people, ethnic group","Female","2001",52960,
"Waikato region","30-34 years","Total people, ethnic group","Male","2001",12570,
"Waikato region","30-34 years","Total people, ethnic group","Female","2001",13770,
"Bay of Plenty region","30-34 years","Total people, ethnic group","Male","2001",7700,
"Bay of Plenty region","30-34 years","Total people, ethnic group","Female","2001",8830,
"Gisborne region","30-34 years","Total people, ethnic group","Male","2001",1420,
"Gisborne region","30-34 years","Total people, ethnic group","Female","2001",1590,
"Hawke's Bay region","30-34 years","Total people, ethnic group","Male","2001",4650,
"Hawke's Bay region","30-34 years","Total people, ethnic group","Female","2001",5070,
"Taranaki region","30-34 years","Total people, ethnic group","Male","2001",3460,
"Taranaki region","30-34 years","Total people, ethnic group","Female","2001",3660,
"Manawatu-Wanganui region","30-34 years","Total people, ethnic group","Male","2001",7290,
"Manawatu-Wanganui region","30-34 years","Total people, ethnic group","Female","2001",7900,
"Wellington region","30-34 years","Total people, ethnic group","Male","2001",17430,
"Wellington region","30-34 years","Total people, ethnic group","Female","2001",18980,
"Tasman region","30-34 years","Total people, ethnic group","Male","2001",1440,
"Tasman region","30-34 years","Total people, ethnic group","Female","2001",1490,
"Nelson region","30-34 years","Total people, ethnic group","Male","2001",1490,
"Nelson region","30-34 years","Total people, ethnic group","Female","2001",1560,
"Marlborough region","30-34 years","Total people, ethnic group","Male","2001",1260,
"Marlborough region","30-34 years","Total people, ethnic group","Female","2001",1370,
"West Coast region","30-34 years","Total people, ethnic group","Male","2001",1030,
"West Coast region","30-34 years","Total people, ethnic group","Female","2001",1100,
"Canterbury region","30-34 years","Total people, ethnic group","Male","2001",18090,
"Canterbury region","30-34 years","Total people, ethnic group","Female","2001",19070,
"Otago region","30-34 years","Total people, ethnic group","Male","2001",6010,
"Otago region","30-34 years","Total people, ethnic group","Female","2001",6580,
"Southland region","30-34 years","Total people, ethnic group","Male","2001",3030,
"Southland region","30-34 years","Total people, ethnic group","Female","2001",3240,
"Northland region","35-39 years","Total people, ethnic group","Male","2001",4890,
"Northland region","35-39 years","Total people, ethnic group","Female","2001",5570,
"Auckland region","35-39 years","Total people, ethnic group","Male","2001",50120,
"Auckland region","35-39 years","Total people, ethnic group","Female","2001",52510,
"Waikato region","35-39 years","Total people, ethnic group","Male","2001",13400,
"Waikato region","35-39 years","Total people, ethnic group","Female","2001",14280,
"Bay of Plenty region","35-39 years","Total people, ethnic group","Male","2001",8640,
"Bay of Plenty region","35-39 years","Total people, ethnic group","Female","2001",9740,
"Gisborne region","35-39 years","Total people, ethnic group","Male","2001",1480,
"Gisborne region","35-39 years","Total people, ethnic group","Female","2001",1780,
"Hawke's Bay region","35-39 years","Total people, ethnic group","Male","2001",5100,
"Hawke's Bay region","35-39 years","Total people, ethnic group","Female","2001",5660,
"Taranaki region","35-39 years","Total people, ethnic group","Male","2001",3870,
"Taranaki region","35-39 years","Total people, ethnic group","Female","2001",4020,
"Manawatu-Wanganui region","35-39 years","Total people, ethnic group","Male","2001",8140,
"Manawatu-Wanganui region","35-39 years","Total people, ethnic group","Female","2001",8700,
"Wellington region","35-39 years","Total people, ethnic group","Male","2001",17840,
"Wellington region","35-39 years","Total people, ethnic group","Female","2001",18950,
"Tasman region","35-39 years","Total people, ethnic group","Male","2001",1610,
"Tasman region","35-39 years","Total people, ethnic group","Female","2001",1720,
"Nelson region","35-39 years","Total people, ethnic group","Male","2001",1640,
"Nelson region","35-39 years","Total people, ethnic group","Female","2001",1770,
"Marlborough region","35-39 years","Total people, ethnic group","Male","2001",1410,
"Marlborough region","35-39 years","Total people, ethnic group","Female","2001",1570,
"West Coast region","35-39 years","Total people, ethnic group","Male","2001",1250,
"West Coast region","35-39 years","Total people, ethnic group","Female","2001",1260,
"Canterbury region","35-39 years","Total people, ethnic group","Male","2001",18780,
"Canterbury region","35-39 years","Total people, ethnic group","Female","2001",19690,
"Otago region","35-39 years","Total people, ethnic group","Male","2001",6720,
"Otago region","35-39 years","Total people, ethnic group","Female","2001",7090,
"Southland region","35-39 years","Total people, ethnic group","Male","2001",3650,
"Southland region","35-39 years","Total people, ethnic group","Female","2001",3760,
"Northland region","40-44 years","Total people, ethnic group","Male","2001",5220,
"Northland region","40-44 years","Total people, ethnic group","Female","2001",5740,
"Auckland region","40-44 years","Total people, ethnic group","Male","2001",45530,
"Auckland region","40-44 years","Total people, ethnic group","Female","2001",48050,
"Waikato region","40-44 years","Total people, ethnic group","Male","2001",13450,
"Waikato region","40-44 years","Total people, ethnic group","Female","2001",14060,
"Bay of Plenty region","40-44 years","Total people, ethnic group","Male","2001",8900,
"Bay of Plenty region","40-44 years","Total people, ethnic group","Female","2001",9600,
"Gisborne region","40-44 years","Total people, ethnic group","Male","2001",1670,
"Gisborne region","40-44 years","Total people, ethnic group","Female","2001",1740,
"Hawke's Bay region","40-44 years","Total people, ethnic group","Male","2001",5460,
"Hawke's Bay region","40-44 years","Total people, ethnic group","Female","2001",5710,
"Taranaki region","40-44 years","Total people, ethnic group","Male","2001",3920,
"Taranaki region","40-44 years","Total people, ethnic group","Female","2001",4280,
"Manawatu-Wanganui region","40-44 years","Total people, ethnic group","Male","2001",8210,
"Manawatu-Wanganui region","40-44 years","Total people, ethnic group","Female","2001",8560,
"Wellington region","40-44 years","Total people, ethnic group","Male","2001",16740,
"Wellington region","40-44 years","Total people, ethnic group","Female","2001",17330,
"Tasman region","40-44 years","Total people, ethnic group","Male","2001",1730,
"Tasman region","40-44 years","Total people, ethnic group","Female","2001",1800,
"Nelson region","40-44 years","Total people, ethnic group","Male","2001",1690,
"Nelson region","40-44 years","Total people, ethnic group","Female","2001",1790,
"Marlborough region","40-44 years","Total people, ethnic group","Male","2001",1570,
"Marlborough region","40-44 years","Total people, ethnic group","Female","2001",1590,
"West Coast region","40-44 years","Total people, ethnic group","Male","2001",1350,
"West Coast region","40-44 years","Total people, ethnic group","Female","2001",1260,
"Canterbury region","40-44 years","Total people, ethnic group","Male","2001",18890,
"Canterbury region","40-44 years","Total people, ethnic group","Female","2001",19340,
"Otago region","40-44 years","Total people, ethnic group","Male","2001",6940,
"Otago region","40-44 years","Total people, ethnic group","Female","2001",7170,
"Southland region","40-44 years","Total people, ethnic group","Male","2001",3720,
"Southland region","40-44 years","Total people, ethnic group","Female","2001",3810,
"Northland region","45-49 years","Total people, ethnic group","Male","2001",4940,
"Northland region","45-49 years","Total people, ethnic group","Female","2001",5010,
"Auckland region","45-49 years","Total people, ethnic group","Male","2001",39550,
"Auckland region","45-49 years","Total people, ethnic group","Female","2001",41610,
"Waikato region","45-49 years","Total people, ethnic group","Male","2001",12170,
"Waikato region","45-49 years","Total people, ethnic group","Female","2001",12300,
"Bay of Plenty region","45-49 years","Total people, ethnic group","Male","2001",7920,
"Bay of Plenty region","45-49 years","Total people, ethnic group","Female","2001",8460,
"Gisborne region","45-49 years","Total people, ethnic group","Male","2001",1540,
"Gisborne region","45-49 years","Total people, ethnic group","Female","2001",1510,
"Hawke's Bay region","45-49 years","Total people, ethnic group","Male","2001",4790,
"Hawke's Bay region","45-49 years","Total people, ethnic group","Female","2001",5140,
"Taranaki region","45-49 years","Total people, ethnic group","Male","2001",3630,
"Taranaki region","45-49 years","Total people, ethnic group","Female","2001",3540,
"Manawatu-Wanganui region","45-49 years","Total people, ethnic group","Male","2001",7190,
"Manawatu-Wanganui region","45-49 years","Total people, ethnic group","Female","2001",7570,
"Wellington region","45-49 years","Total people, ethnic group","Male","2001",14330,
"Wellington region","45-49 years","Total people, ethnic group","Female","2001",14780,
"Tasman region","45-49 years","Total people, ethnic group","Male","2001",1570,
"Tasman region","45-49 years","Total people, ethnic group","Female","2001",1530,
"Nelson region","45-49 years","Total people, ethnic group","Male","2001",1480,
"Nelson region","45-49 years","Total people, ethnic group","Female","2001",1600,
"Marlborough region","45-49 years","Total people, ethnic group","Male","2001",1450,
"Marlborough region","45-49 years","Total people, ethnic group","Female","2001",1440,
"West Coast region","45-49 years","Total people, ethnic group","Male","2001",1210,
"West Coast region","45-49 years","Total people, ethnic group","Female","2001",1080,
"Canterbury region","45-49 years","Total people, ethnic group","Male","2001",17200,
"Canterbury region","45-49 years","Total people, ethnic group","Female","2001",17550,
"Otago region","45-49 years","Total people, ethnic group","Male","2001",6520,
"Otago region","45-49 years","Total people, ethnic group","Female","2001",6390,
"Southland region","45-49 years","Total people, ethnic group","Male","2001",3410,
"Southland region","45-49 years","Total people, ethnic group","Female","2001",3230,
"Northland region","50-54 years","Total people, ethnic group","Male","2001",4790,
"Northland region","50-54 years","Total people, ethnic group","Female","2001",4780,
"Auckland region","50-54 years","Total people, ethnic group","Male","2001",36980,
"Auckland region","50-54 years","Total people, ethnic group","Female","2001",37620,
"Waikato region","50-54 years","Total people, ethnic group","Male","2001",11140,
"Waikato region","50-54 years","Total people, ethnic group","Female","2001",11400,
"Bay of Plenty region","50-54 years","Total people, ethnic group","Male","2001",7600,
"Bay of Plenty region","50-54 years","Total people, ethnic group","Female","2001",7780,
"Gisborne region","50-54 years","Total people, ethnic group","Male","2001",1390,
"Gisborne region","50-54 years","Total people, ethnic group","Female","2001",1310,
"Hawke's Bay region","50-54 years","Total people, ethnic group","Male","2001",4820,
"Hawke's Bay region","50-54 years","Total people, ethnic group","Female","2001",4950,
"Taranaki region","50-54 years","Total people, ethnic group","Male","2001",3320,
"Taranaki region","50-54 years","Total people, ethnic group","Female","2001",3340,
"Manawatu-Wanganui region","50-54 years","Total people, ethnic group","Male","2001",6800,
"Manawatu-Wanganui region","50-54 years","Total people, ethnic group","Female","2001",6880,
"Wellington region","50-54 years","Total people, ethnic group","Male","2001",13770,
"Wellington region","50-54 years","Total people, ethnic group","Female","2001",13880,
"Tasman region","50-54 years","Total people, ethnic group","Male","2001",1600,
"Tasman region","50-54 years","Total people, ethnic group","Female","2001",1550,
"Nelson region","50-54 years","Total people, ethnic group","Male","2001",1430,
"Nelson region","50-54 years","Total people, ethnic group","Female","2001",1470,
"Marlborough region","50-54 years","Total people, ethnic group","Male","2001",1460,
"Marlborough region","50-54 years","Total people, ethnic group","Female","2001",1500,
"West Coast region","50-54 years","Total people, ethnic group","Male","2001",1160,
"West Coast region","50-54 years","Total people, ethnic group","Female","2001",1050,
"Canterbury region","50-54 years","Total people, ethnic group","Male","2001",16510,
"Canterbury region","50-54 years","Total people, ethnic group","Female","2001",16580,
"Otago region","50-54 years","Total people, ethnic group","Male","2001",6030,
"Otago region","50-54 years","Total people, ethnic group","Female","2001",6050,
"Southland region","50-54 years","Total people, ethnic group","Male","2001",3160,
"Southland region","50-54 years","Total people, ethnic group","Female","2001",2910,
"Northland region","55-59 years","Total people, ethnic group","Male","2001",3920,
"Northland region","55-59 years","Total people, ethnic group","Female","2001",4070,
"Auckland region","55-59 years","Total people, ethnic group","Male","2001",27850,
"Auckland region","55-59 years","Total people, ethnic group","Female","2001",28540,
"Waikato region","55-59 years","Total people, ethnic group","Male","2001",8790,
"Waikato region","55-59 years","Total people, ethnic group","Female","2001",9010,
"Bay of Plenty region","55-59 years","Total people, ethnic group","Male","2001",6110,
"Bay of Plenty region","55-59 years","Total people, ethnic group","Female","2001",6270,
"Gisborne region","55-59 years","Total people, ethnic group","Male","2001",1000,
"Gisborne region","55-59 years","Total people, ethnic group","Female","2001",1030,
"Hawke's Bay region","55-59 years","Total people, ethnic group","Male","2001",3730,
"Hawke's Bay region","55-59 years","Total people, ethnic group","Female","2001",3760,
"Taranaki region","55-59 years","Total people, ethnic group","Male","2001",2640,
"Taranaki region","55-59 years","Total people, ethnic group","Female","2001",2640,
"Manawatu-Wanganui region","55-59 years","Total people, ethnic group","Male","2001",5320,
"Manawatu-Wanganui region","55-59 years","Total people, ethnic group","Female","2001",5510,
"Wellington region","55-59 years","Total people, ethnic group","Male","2001",10450,
"Wellington region","55-59 years","Total people, ethnic group","Female","2001",10490,
"Tasman region","55-59 years","Total people, ethnic group","Male","2001",1250,
"Tasman region","55-59 years","Total people, ethnic group","Female","2001",1180,
"Nelson region","55-59 years","Total people, ethnic group","Male","2001",1060,
"Nelson region","55-59 years","Total people, ethnic group","Female","2001",1080,
"Marlborough region","55-59 years","Total people, ethnic group","Male","2001",1280,
"Marlborough region","55-59 years","Total people, ethnic group","Female","2001",1270,
"West Coast region","55-59 years","Total people, ethnic group","Male","2001",880,
"West Coast region","55-59 years","Total people, ethnic group","Female","2001",870,
"Canterbury region","55-59 years","Total people, ethnic group","Male","2001",12560,
"Canterbury region","55-59 years","Total people, ethnic group","Female","2001",12610,
"Otago region","55-59 years","Total people, ethnic group","Male","2001",4670,
"Otago region","55-59 years","Total people, ethnic group","Female","2001",4650,
"Southland region","55-59 years","Total people, ethnic group","Male","2001",2410,
"Southland region","55-59 years","Total people, ethnic group","Female","2001",2290,
"Northland region","60-64 years","Total people, ethnic group","Male","2001",3720,
"Northland region","60-64 years","Total people, ethnic group","Female","2001",3620,
"Auckland region","60-64 years","Total people, ethnic group","Male","2001",22280,
"Auckland region","60-64 years","Total people, ethnic group","Female","2001",22940,
"Waikato region","60-64 years","Total people, ethnic group","Male","2001",7570,
