Area,Age,Ethnic group,Sex,Year at 30 June,Value,Flags
"Canterbury region","5-9 years","Total people, ethnic group","Female","1996",16200,
"Otago region","5-9 years","Total people, ethnic group","Male","1996",6550,
"Otago region","5-9 years","Total people, ethnic group","Female","1996",6140,
"Southland region","5-9 years","Total people, ethnic group","Male","1996",4120,
"Southland region","5-9 years","Total people, ethnic group","Female","1996",3870,
"Northland region","10-14 years","Total people, ethnic group","Male","1996",6180,
"Northland region","10-14 years","Total people, ethnic group","Female","1996",5740,
"Auckland region","10-14 years","Total people, ethnic group","Male","1996",39560,
"Auckland region","10-14 years","Total people, ethnic group","Female","1996",37420,
"Waikato region","10-14 years","Total people, ethnic group","Male","1996",14660,
"Waikato region","10-14 years","Total people, ethnic group","Female","1996",13710,
"Bay of Plenty region","10-14 years","Total people, ethnic group","Male","1996",9250,
"Bay of Plenty region","10-14 years","Total people, ethnic group","Female","1996",8910,
"Gisborne region","10-14 years","Total people, ethnic group","Male","1996",2070,
"Gisborne region","10-14 years","Total people, ethnic group","Female","1996",2030,
"Hawke's Bay region","10-14 years","Total people, ethnic group","Male","1996",5920,
"Hawke's Bay region","10-14 years","Total people, ethnic group","Female","1996",5570,
"Taranaki region","10-14 years","Total people, ethnic group","Male","1996",4540,
"Taranaki region","10-14 years","Total people, ethnic group","Female","1996",4210,
"Manawatu-Wanganui region","10-14 years","Total people, ethnic group","Male","1996",9130,
"Manawatu-Wanganui region","10-14 years","Total people, ethnic group","Female","1996",8600,
"Wellington region","10-14 years","Total people, ethnic group","Male","1996",14840,
"Wellington region","10-14 years","Total people, ethnic group","Female","1996",13890,
"Tasman region","10-14 years","Total people, ethnic group","Male","1996",1570,
"Tasman region","10-14 years","Total people, ethnic group","Female","1996",1410,
"Nelson region","10-14 years","Total people, ethnic group","Male","1996",1400,
"Nelson region","10-14 years","Total people, ethnic group","Female","1996",1310,
"Marlborough region","10-14 years","Total people, ethnic group","Male","1996",1450,
"Marlborough region","10-14 years","Total people, ethnic group","Female","1996",1440,
"West Coast region","10-14 years","Total people, ethnic group","Male","1996",1270,
"West Coast region","10-14 years","Total people, ethnic group","Female","1996",1200,
"Canterbury region","10-14 years","Total people, ethnic group","Male","1996",15970,
"Canterbury region","10-14 years","Total people, ethnic group","Female","1996",15520,
"Otago region","10-14 years","Total people, ethnic group","Male","1996",6330,
"Otago region","10-14 years","Total people, ethnic group","Female","1996",5860,
"Southland region","10-14 years","Total people, ethnic group","Male","1996",4020,
"Southland region","10-14 years","Total people, ethnic group","Female","1996",3940,
"Northland region","15-19 years","Total people, ethnic group","Male","1996",4930,
"Northland region","15-19 years","Total people, ethnic group","Female","1996",4580,
"Auckland region","15-19 years","Total people, ethnic group","Male","1996",41240,
"Auckland region","15-19 years","Total people, ethnic group","Female","1996",39840,
"Waikato region","15-19 years","Total people, ethnic group","Male","1996",14120,
"Waikato region","15-19 years","Total people, ethnic group","Female","1996",13330,
"Bay of Plenty region","15-19 years","Total people, ethnic group","Male","1996",8230,
"Bay of Plenty region","15-19 years","Total people, ethnic group","Female","1996",7760,
"Gisborne region","15-19 years","Total people, ethnic group","Male","1996",1740,
"Gisborne region","15-19 years","Total people, ethnic group","Female","1996",1660,
"Hawke's Bay region","15-19 years","Total people, ethnic group","Male","1996",5510,
"Hawke's Bay region","15-19 years","Total people, ethnic group","Female","1996",5060,
"Taranaki region","15-19 years","Total people, ethnic group","Male","1996",4100,
"Taranaki region","15-19 years","Total people, ethnic group","Female","1996",3760,
